item_id,item,engine_home,state,status,basis,rule_types,source_types,values_found,rule_ids,citations,official_links,snippet
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,AL,actual_cost_or_reasonable,soft-standard,Permission,Statute,,AL-0039,"Ala. Code § 36-12-44(a)(2), § 36-12-41 (SB270, 2024 Reg. Sess.)",https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/SB270-enr.pdf,"A public officer may require the requester to pay a reasonable fee set by the public officer before the requester may receive any public records (standard request); more generally, a certified copy is furnished on paymen"
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,AZ,rule_without_value,soft-standard,Permission,,,AZ-0018,Ariz. Rev. Stat. § 39-121.01(D)(1),https://www.azleg.gov/ars/39/00121-01.htm,"The custodian may charge a fee for furnishing copies, printouts or photographs if the facilities are available; the statute sets no rate."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,CA,actual_cost_or_reasonable,ceiling,Permission,,,CA-0021,Cal. Gov. Code § 7922.530(a) (Statute),https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.530&lawCode=GOV,"Fees for copies of records are limited to fees covering the direct costs of duplication, or a statutory fee if one applies."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,CO,value_present,ceiling,Permission,Statute,twenty-five cents,CO-0016,C.R.S. § 24-72-205(5)(a),https://leg.colorado.gov/colorado-revised-statutes,The custodian may charge a fee not to exceed twenty-five cents per standard page for a copy of a public record.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,CT,value_present,ceiling,Calculation,,twenty-five cents,CT-0015 CT-0016,Conn. Gen. Stat. § 1-212(a)(A) | Conn. Gen. Stat. § 1-212(a)(B),https://www.cga.ct.gov/current/pub/chap_014.htm,"For all public agencies other than state offices/agencies, the fee for a copy of a public record shall not exceed fifty cents per page."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,FL,value_present,ceiling,Calculation/Definition,,15 cents | 5 cents,FL-0020 FL-0021 FL-0023,"§ 119.011(1), Fla. Stat. | § 119.07(4)(a)1., Fla. Stat. | § 119.07(4)(a)2., Fla. Stat.",https://www.flsenate.gov/Laws/Statutes/2024/119.011 https://www.flsenate.gov/Laws/Statutes/2024/119.07,"For duplicated copies of records not larger than 14 by 8.5 inches, the agency may charge up to 15 cents per one-sided copy."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,GA,value_present,ceiling,Classification/Requirement,,10 cents,GA-0018 GA-0020 GA-0021,O.C.G.A. § 50-18-71(c)(1) | O.C.G.A. § 50-18-71(c)(2),https://georgialibraries.org/librarylaws/Georgia%20Open%20Records%20Act%20(O.C.G.A.%20%C2%A7%C2%A7%2050-18-70%20through%2050-18-74).pdf,"In addition to labor charges, an agency may charge for copying, not to exceed 10 cents per page for letter or legal size documents, or the actual cost of producing the copy for other document types."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,ID,actual_cost_or_reasonable,ceiling,Calculation,,,ID-0019 ID-0022,Idaho Code § 74-102(10) | Idaho Code § 74-102(10)(c),https://legislature.idaho.gov/statutesrules/idstat/Title74/T74CH1/SECT74-102/,The fee charged to a resident may not exceed the actual cost to the agency of copying the record.
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,IL,value_present,ceiling,Calculation,,15 cents,IL-0028,5 ILCS 140/6(b),https://www.ilga.gov/documents/legislation/ilcs/documents/000501400K6.htm,"The fee for black-and-white, letter- or legal-sized copies (after the free 50) may not exceed 15 cents per page."
dup.bw.rate,Copy rate — B&W page,fee_profiles:duplication.bw.rate,IN,value_present,ceiling,Calculation/Requirement,,$0.10 | $0.25 | ten cents | twenty-five cents,IN-0015 IN-0019,Ind. Code § 5-14-3-8(b)-(d) | Ind. Code § 5-14-3-8(d),https://iga.in.gov/laws/2025/ic/titles/5#5-14-3-8,"The fee for copying documents may not exceed the greater of ten cents ($0.10) per non-color page or twenty-five cents ($0.25) per color page, or the agency's actual cost."
