value	uses	family	L.fg	L.bg	L.ln	D.fg	D.bg	D.ln
#ffffff	473	neutral	#ffffff	#ffffff	#ffffff	#ffffff	#2a2a2a	#ffffff
#e5e7eb	297	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#9ca3af	280	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#1f4e79	272	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#6b7280	230	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#374151	198	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#f3f4f6	126	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#111111	101	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#dc2626	83	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#92400e	82	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#9b1c1c	70	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#03543f	56	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#fef3c7	40	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#d1d5db	39	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#f9fafb	35	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#ebf3fb	35	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#8296a4	32	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#fef2f2	32	red	#ba1428	#ffffff	#0c0c0c	#ff0206	#0c0c0c	#777777
#fca5a5	31	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#9cb4cc	29	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#fde8e8	28	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#5c6f7c	28	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#def7ec	25	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#0c0c0c	#777777
#fffbeb	24	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#8c3a2b	24	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#1e40af	23	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#e1f2e9	23	neutral	#ffffff	#00cc05	#0c0c0c	#ffffff	#0c0c0c	#777777
#991b1b	23	red	#0c0c0c	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#eef2f5	23	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#fde68a	22	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#d2dce3	22	neutral	#555555	#b8b8b8	#0c0c0c	#777777	#0c0c0c	#777777
#166534	22	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#f0fdf4	21	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#0c0c0c	#777777
#1b8a5a	20	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#bfdbfe	19	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#b45309	19	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#f2f6f9	19	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#b91c1c	19	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#4b5563	18	neutral	#0c0c0c	#555555	#0c0c0c	#ffffff	#777777	#777777
#dbeafe	18	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#065f46	18	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#f6ebd6	18	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#8792a0	18	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#d9e0e8	18	neutral	#555555	#b8b8b8	#0c0c0c	#777777	#0c0c0c	#777777
#12232e	17	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#eff6ff	16	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#9a6512	16	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#fee2e2	15	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#ede9fe	15	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#c22b2b	15	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#d97706	15	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#5b21b6	14	purple	#8d33cc	#8d33cc	#8d33cc	#ffffff	#8d33cc	#8d33cc
#2e75b6	14	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#b02a37	13	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#16a34a	13	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#66717f	13	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#1a2230	12	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#17803d	11	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#becad3	11	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#1e6091	11	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#48535f	11	neutral	#0c0c0c	#555555	#0c0c0c	#ffffff	#777777	#777777
#5b6b7a	10	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#86efac	10	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#d3dae4	10	neutral	#555555	#b8b8b8	#0c0c0c	#777777	#0c0c0c	#777777
#f8faff	8	neutral	#555555	#ffffff	#0c0c0c	#777777	#2a2a2a	#777777
#c9d6e2	8	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#b23a3a	8	red	#ba1428	#ba1428	#ba1428	#ff0206	#ff0206	#ff0206
#3730a3	7	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#a9b7c2	7	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#c08a7e	7	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#fcd34d	7	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#ecfdf5	7	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#0c0c0c	#777777
#6d28d9	7	purple	#8d33cc	#8d33cc	#8d33cc	#ffffff	#8d33cc	#8d33cc
#f9e4e4	7	red	#ba1428	#ffffff	#0c0c0c	#ff0206	#0c0c0c	#777777
#e8eef4	6	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#78350f	6	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#a7f3d0	6	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#98a2b0	6	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#f8fafc	6	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#f59e0b	6	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#059669	6	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#e0e7ff	5	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#8a97a5	5	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
#0e3a5c	5	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#c5d3df	5	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#c3cfda	5	neutral	#555555	#555555	#0c0c0c	#777777	#777777	#777777
#fecaca	5	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#d6e4f0	5	neutral	#555555	#b8b8b8	#0c0c0c	#777777	#0c0c0c	#777777
#d1fae5	5	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#0c0c0c	#777777
#14181d	5	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#e6f4ec	4	neutral	#ffffff	#00cc05	#0c0c0c	#ffffff	#0c0c0c	#777777
#eef3f8	4	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#d4a72c	4	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#fff8e5	4	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#2f6b4f	4	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#f7e9e5	4	red	#ba1428	#ff0206	#0c0c0c	#ff0206	#0c0c0c	#777777
#fafbfc	4	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#334155	4	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#0f766e	4	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#f1d9a8	4	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#f3f6f9	4	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#e9eef4	4	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#1d2a38	4	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#2a3a4c	4	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#1f2937	3	neutral	#0c0c0c	#0c0c0c	#0c0c0c	#ffffff	#555555	#777777
#fbefd7	3	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#c77a0a	3	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#143d5c	3	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#8a97a3	3	neutral	#0c0c0c	#555555	#0c0c0c	#b8b8b8	#777777	#777777
